利用,りよう,utilization
昨夜,ゆうべ,last night
早口,はやくち,fast-talking
順々,じゅんじゅん,"in order,in turn"
全部,ぜんぶ,All
想像,そうぞう,"imagination,guess"
納める,おさめる,"to obtain,to reap,to pay,to supply,to accept"
鳴く,なく,"animal noise. to chirp, roar or croak etc."
地方,ちほう,"area,locality,district,region,the coast"
冗談,じょうだん,"jest,joke"
関する,かんする,"to concern,to be related"
軽い,かるい,Light
等,など,"et cetera,etc.,and the like"
調節,ちょうせつ,"regulation,adjustment,control"
又は,または,"or,otherwise"
寄せる,よせる,"to collect,to gather,to add,to put aside"
方程式,ほうていしき,equation
手帳,てちょう,notebook
普段,ふだん,"usually,habitually,ordinarily,always"
書類,しょるい,"documents,official papers"
捻る,ひねる,"to turn (a switch) on or off,to twist,to puzzle over"
上り,のぼり,"up-train (going to Tokyo),ascent"
分数,ぶんすう,fraction (in math)
高等,こうとう,"high class,high grade"
鍵,かぎ,key
父母,ふぼ,"father and mother,parents"
溶岩,ようがん,lava
書斎,しょさい,study
呑気,のんき,"carefree,optimistic,careless,reckless,heedless"
物事,ものごと,"things,everything"
挨拶,あいさつ,"greeting,salutation"
面倒臭い,めんどうくさい,"bother to do,tiresome"
浴びる,あびる,"to bathe,to bask in the sun,to shower"
物理,ぶつり,physics
今度,こんど,"now,next time"
寒帯,かんたい,frigid zone
東,ひがし,east
お酒,おさけ,"alcohol, rice wine"
部屋,へや,room
日用品,にちようひん,daily necessities
お帰り,おかえり,"return,welcome"
建てる,たてる,to build
評価,ひょうか,"valuation,estimation,assessment,evaluation"
茶,ちゃ,tea
水素,すいそ,hydrogen
お金,おかね,money
引っ繰り返す,ひっくりかえす,"to turn over,to overturn,to knock over,to upset,to turn inside out"
勝負,しょうぶ,"victory or defeat,match,contest,game,bout"
振舞う,ふるまう,"to behave,to conduct oneself,to entertain (vt)"
中指,なかゆび,middle finger
光,ひかり,light
死亡,しぼう,"death,mortality"
柔道,じゅうどう,judo
呼吸,こきゅう,"breath,respiration"
留学,りゅうがく,studying abroad
列島,れっとう,chain of islands
舟,ふね,ship
柔らかい,やわらかい,soft
断定,だんてい,"conclusion,decision"
高校生,こうこうせい,high school student
高層,こうそう,upper
急激,きゅうげき,"sudden,precipitous,radical"
人差指,ひとさしゆび,index finger
一月,ひとつき,one month
薬局,やっきょく,"pharmacy,drugstore"
親戚,しんせき,relative
茶色い,ちゃいろい,light brown; tawny
終る,おわる,to finish
素,もと,prime
対,たい,"pair,couple,set"
悲しむ,かなしむ,"to be sad,to mourn for,to regret"
重大,じゅうだい,"serious,important,grave,weighty"
武器,ぶき,"weapon,arms,ordinance"
渋滞,じゅうたい,"congestion (e.g. traffic),delay,stagnation"
作業,さぎょう,"work,operation,manufacturing,fatigue duty"
恩,おん,"favour,obligation,debt of gratitude"
増加,ぞうか,"increase,addition"
差し上げる,さしあげる,(polite) to give
皆,みな,everybody
間違い,まちがい,mistake
飲み物,のみもの,a drink
残す,のこす,"to leave (behind, over),to bequeath,to save,to reserve"
引っ越す,ひっこす,to move house
計算,けいさん,"calculation,reckoning"
去る,さる,"to leave,to go away"
冷やす,ひやす,"to cool,to refrigerate"
代金,だいきん,"price,payment,cost,charge"
疲れ,つかれ,"tiredness,fatigue"
煮る,にる,"to boil,to cook"
折る,おる,to break or to fold
家具,かぐ,furniture
去年,きょねん,last year
中央,ちゅうおう,"centre,central,center,middle"
決める,きめる,to decide
六,ろく,six
親,おや,parents
待合室,まちあいしつ,waiting room
奥,おく,"interior,inner part"
お嬢さん,おじょうさん,young lady
問答,もんどう,"questions and answers,dialogue"
同様,どうよう,"identical,equal to,same (kind),like"
食器,しょっき,tableware
十分,じゅうぶん,enough
虎,とら,tiger
金融,きんゆう,"monetary circulation,credit situation"
最中,さいちゅう,in the middle of
解ける,とける,"to come untied,to come apart"
只,ただ,"free of charge,mere,sole,only,usual,common"
火曜,かよう,(abbr) Tuesday
縮める,ちぢめる,"to shorten,to reduce,to boil down,to shrink"
番号,ばんごう,number
単数,たんすう,singular (number)
予測,よそく,"prediction,estimation"
性格,せいかく,"character,personality"
支店,してん,branch store (office)
置く,おく,to put
半,はん,half
零,れい,zero
日の入り,ひのいり,sunset
生意気,なまいき,"impertinent,saucy,cheeky,conceit,audacious,brazen"
上下,じょうげ,"high and low,up and down,unloading and loading,praising and blaming"
苦労,くろう,"troubles,hardships"
危うい,あやうい,"dangerous,critical,grave"
売上,うりあげ,"amount sold,proceeds"
枕,まくら,"pillow,bolster"
出発,しゅっぱつ・する,to depart
戦争,せんそう,war
背広,せびろ,business suit
席,せき,seat
片寄る,かたよる,"to be one-sided,to incline,to be partial"
肌,はだ,skin
講師,こうし,lecturer
学科,がっか,"study subject,course of study"
大人,おとな,Adult
試験,しけん,examination
校舎,こうしゃ,school building
変化,へんか,"goblin,ghost,apparition,bugbear"
風船,ふうせん,balloon
引っ張る,ひっぱる,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)"
反対,はんたい,opposition
始まる,はじまる,to begin
降ろす,おろす,"to take down,to launch,to drop"
作文,さくぶん,"composition, writing"
表面,ひょうめん,"surface,outside,face,appearance"
耳,みみ,ear
軟らかい,やわらかい,"soft,tender,limp"
俄,にわか,"sudden,abrupt,unexpected,improvised,offhand"
夜,よる,"evening,night"
理解,りかい,"understanding,comprehension"
経験,けいけん,experience
来,らい,",for (10 days),next (year)"
帰り,かえり,return
怠ける,なまける,"to be idle,to neglect"
一致,いっち,"(1) coincidence,agreement,(2) conformity"
整数,せいすう,integer
現場,げんば,"actual spot,scene,scene of the crime"
人類,じんるい,"mankind,humanity"
始終,しじゅう,"continuously,from beginning to end"
仕上がる,しあがる,to be finished
地帯,ちたい,"area,zone"
葬式,そうしき,funeral
洗剤,せんざい,"detergent,washing material"
暖まる,あたたまる,"to warm up,to get warm"
謝る,あやまる,to apologize
上達,じょうたつ,"improvement,advance,progress"
奇妙,きみょう,"strange,queer,curious"
栄養,えいよう,"nutrition,nourishment"
長所,ちょうしょ,"(1) strong point,merit,(2) advantage"
回答,かいとう,"reply,answer"
口実,こうじつ,excuse
胃,い,stomach
知事,ちじ,prefectural governor
製品,せいひん,"manufactured goods,finished goods"
得意,とくい,"pride,triumph,prosperity"
引分け,ひきわけ,"a draw (in competition),tie game"
偶々,たまたま,"casually,unexpectedly,accidentally,by chance"
貢献,こうけん,"contribution,services"
原,はら,"field,plain,prairie,tundra,moor,wilderness"
診る,みる,to examine (medical)
照らす,てらす,"to shine on,to illuminate"
冷える,ひえる,to grow cold
以外,いがい,with the exception of
割引,わりびき,"discount,reduction,rebate"
担ぐ,かつぐ,"to shoulder,to carry on shoulder"
砂漠,さばく,desert
進歩,しんぽ,"progress,development"
商店,しょうてん,"shop,business firm"
蒸気,じょうき,"steam,vapour"
罹る,かかる,to suffer from
改正,かいせい,"revision,amendment,alteration"
出身,しゅっしん,"graduate from,come from"
痛い,いたい,painful
無視,むし,"disregard,ignore"
引用,いんよう,"quotation,citation"
金庫,きんこ,"safe,vault,treasury,provider of funds"
清書,せいしょ,clean copy
形容動詞,けいようどうし,"adjectival noun,quasi-adjective"
異なる,ことなる,"to differ,to vary,to disagree"
天気,てんき,weather
直径,ちょっけい,diameter
往復,おうふく,"(col) round trip,coming and going,return ticket"
量る,はかる,"to measure,to weigh,to survey"
担当,たんとう,(in) charge
居る,おる,"to be (animate),to be,to exist"
体積,たいせき,"capacity,volume"
読み,よみ,reading
独り言,ひとりごと,"a soliloquy,a monologue,speaking to oneself"
参る,まいる,"(humble) to go,to come"
溶ける,とける,"to melt,to thaw,to fuse,to dissolve"
最低,さいてい,"least,lowest,worst"
器械,きかい,instrument
対策,たいさく,"counter-plan,counter-measure"
混ぜる,まぜる,"to mix,to stir"
歯磨き,はみがき,"dentifrice,toothpaste"
意志,いし,"will,volition"
笑い,わらい,"laugh,laughter,smile"
昼食,ちゅうしょく,"lunch,midday meal"
止す,よす,"to cease,to abolish,to resign,to give up"
風呂敷,ふろしき,"wrapping cloth,cloth wrapper"
産地,さんち,producing area
餌,えさ,"feed,bait"
光線,こうせん,"beam,light ray"
消耗,しょうもう,"exhaustion,consumption"
聞こえる,きこえる,to be heard
超過,ちょうか,"excess,being more than"
捕まる,つかまる,"to be caught,to be arrested"
器具,きぐ,utensil
他,ほか,other (esp. places and things)
動作,どうさ,"action,movements,motions,bearing,behaviour,manners"
他人,たにん,"another person,unrelated person,outsider,stranger"
無料,むりょう,"free,no charge"
四つ,よっつ,four
初めて,はじめて,for the first time
種,たね,"(1) seed,(2) material,(3) cause,source"
人気,にんき,sign of life
描く,かく,"to draw,to paint,to sketch,to depict,to describe"
嫌がる,いやがる,"to hate,to dislike"
煩い,うるさい,"noisy, annoying"
手品,てじな,"sleight of hand,conjuring trick,magic,juggling"
番,ばん,number (in a series)
休業,きゅうぎょう,"closed (e.g. store),business suspended,shutdown,holiday"
死ぬ,しぬ,to die
産業,さんぎょう,industry
夫妻,ふさい,"man and wife,married couple"
放る,ほうる,to let go
丼,どんぶり,"porcelain bowl,bowl of rice with food on top"
定休日,ていきゅうび,regular holiday
埃,ほこり,dust
何,なに,what
渡る,わたる,to go across
生える,はえる,"(1) to grow,to spring up,(2) to cut (teeth)"
特急,とっきゅう,limited express train (faster than an express train)
目立つ,めだつ,"to be conspicuous,to stand out"
後者,こうしゃ,the latter
景色,けしき,"scene,landscape"
焦点,しょうてん,"focus,point"
伯母さん,おばさん,(hon) aunt
給料,きゅうりょう,"salary,wages"
解決,かいけつ,"settlement,solution,resolution"
黒板,こくばん,blackboard
経由,けいゆ,"go by the way,via"
